sid,sname,description,tid
1,"Subtask 1","Description 1",1
2,"Subtask 2","Description 2",2
3,"Subtask 3","Description 3",3
4,"Subtask 4","Description 4",4
5,"Subtask 5","Description 5",5
6,"Subtask 6","Description 6",6
7,"Subtask 7","Description 7",7
8,"Subtask 8","Description 8",8
9,"Subtask 9","Description 9",9
10,"Subtask 10","Description 10",10
11,"Subtask 11","Description 11",11
12,"Subtask 12","Description 12",12
13,"Subtask 13","Description 13",13
14,"Subtask 14","Description 14",14
15,"Subtask 15","Description 15",15
16,"Subtask 16","Description 16",16
17,"Subtask 17","Description 17",17
18,"Subtask 18","Description 18",18
19,"Subtask 19","Description 19",19
20,"Subtask 20","Description 20",20
21,"Subtask 21","Description 21",21
22,"Subtask 22","Description 22",22
23,"Subtask 23","Description 23",23
24,"Subtask 24","Description 24",24
25,"Subtask 25","Description 25",25
26,"Subtask 26","Description 26",26
27,"Subtask 27","Description 27",27
28,"Subtask 28","Description 28",28
29,"Subtask 29","Description 29",29
30,"Subtask 30","Description 30",30
31,"Subtask 31","Description 31",31
32,"Subtask 32","Description 32",32
33,"Subtask 33","Description 33",33
34,"Subtask 34","Description 34",34
35,"Subtask 35","Description 35",35
36,"Subtask 36","Description 36",36
37,"Subtask 37","Description 37",37
38,"Subtask 38","Description 38",38
39,"Subtask 39","Description 39",39
40,"Subtask 40","Description 40",40
41,"Subtask 41","Description 41",41
42,"Subtask 42","Description 42",42
43,"Subtask 43","Description 43",43
44,"Subtask 44","Description 44",44
45,"Subtask 45","Description 45",45
46,"Subtask 46","Description 46",46
47,"Subtask 47","Description 47",47
48,"Subtask 48","Description 48",48
49,"Subtask 49","Description 49",49
50,"Subtask 50","Description 50",50
